,Microbe_0,Microbe_1,Microbe_2,Microbe_3,Microbe_4,Microbe_5,Microbe_6,Microbe_7,Microbe_8,Microbe_9,Microbe_10,Microbe_11,Microbe_12,Microbe_13,Microbe_14,Microbe_15,Microbe_16,Microbe_17,Microbe_18,Microbe_19,Microbe_20,Microbe_21,Microbe_22,Microbe_23,Microbe_24,Microbe_25,Microbe_26,Microbe_27,Microbe_28,Microbe_29,Microbe_30,Microbe_31,Microbe_32,Microbe_33,Microbe_34,Microbe_35,Microbe_36,Microbe_37,Microbe_38,Microbe_39,Microbe_40,Microbe_41,Microbe_42,Microbe_43,Microbe_44,Microbe_45,Microbe_46,Microbe_47,Microbe_48,Microbe_49,Microbe_50,Microbe_51,Microbe_52,Microbe_53,Microbe_54,Microbe_55,Microbe_56,Microbe_57,Microbe_58,Microbe_59,Microbe_60,Microbe_61,Microbe_62,Microbe_63,Microbe_64,Microbe_65,Microbe_66,Microbe_67,Microbe_68,Microbe_69,Microbe_70,Microbe_71,Microbe_72,Microbe_73,Microbe_74,Microbe_75,Microbe_76,Microbe_77,Microbe_78,Microbe_79,Microbe_80,Microbe_81,Microbe_82,Microbe_83,Microbe_84,Microbe_85,Microbe_86,Microbe_87,Microbe_88,Microbe_89,Microbe_90,Microbe_91,Microbe_92,Microbe_93,Microbe_94,Microbe_95,Microbe_96,Microbe_97,Microbe_98,Microbe_99,Microbe_100,Microbe_101,Microbe_102,Microbe_103,Microbe_104,Microbe_105,Microbe_106,Microbe_107,Microbe_108,Microbe_109,Microbe_110,Microbe_111,Microbe_112,Microbe_113,Microbe_114,Microbe_115,Microbe_116,Microbe_117,Microbe_118,Microbe_119,Group
Patient_155,106,52,50,64,52,62,60,51,65,34,40,52,52,62,51,65,45,54,51,43,58,49,68,65,51,56,60,66,54,107,56,64,50,64,65,49,61,60,52,65,59,32,66,53,56,52,104,95,102,52,62,94,56,36,45,35,57,44,108,96,50,44,61,60,62,66,65,38,105,34,54,56,63,64,105,51,46,49,60,96,52,107,60,60,60,66,63,47,63,57,56,106,50,108,49,52,58,60,46,105,68,69,63,65,105,54,37,94,105,105,50,64,47,46,93,45,38,63,61,67,control
Patient_156,52,61,65,66,64,69,59,60,70,42,42,61,62,74,60,70,43,64,62,43,62,53,68,61,63,62,61,66,60,44,62,58,59,67,72,63,71,61,61,66,63,46,69,63,58,63,39,46,32,63,69,47,62,42,42,47,60,37,55,43,62,38,70,62,72,69,58,42,31,50,61,62,67,62,42,61,61,64,68,46,59,44,59,59,62,65,61,40,61,61,59,48,45,37,40,61,59,67,46,33,72,70,60,66,37,62,51,54,34,31,64,68,62,45,38,47,45,65,65,72,control
Patient_157,50,56,56,56,56,53,52,56,54,61,53,59,58,54,55,51,45,48,58,56,52,46,56,45,55,53,52,49,57,51,54,50,57,50,50,53,48,53,54,55,51,65,53,48,55,56,47,55,49,56,56,53,53,58,57,67,51,54,51,52,58,40,60,50,48,53,48,62,47,64,51,47,56,51,40,56,58,56,56,51,58,53,51,49,57,49,47,40,50,53,52,49,32,41,35,56,54,55,51,23,49,48,48,57,43,53,54,50,31,22,54,50,59,42,22,50,61,59,47,60,control
Patient_158,80,69,65,61,69,64,70,67,61,34,42,66,68,58,68,62,53,66,68,41,71,57,65,68,66,66,68,63,65,82,69,67,68,59,62,68,64,55,69,63,68,39,63,65,69,65,79,84,82,67,61,80,67,34,42,35,67,44,79,80,68,57,59,67,64,61,68,39,78,36,63,66,62,66,82,67,67,65,60,80,67,81,66,67,64,60,66,46,68,70,67,81,49,82,48,67,70,61,41,79,59,60,67,65,81,66,44,86,80,80,66,63,67,51,85,44,34,65,66,67,control
Patient_159,79,68,68,57,67,59,65,68,60,44,45,67,66,64,68,66,44,68,65,47,67,52,66,65,68,71,67,61,65,77,68,64,67,64,65,66,58,56,67,56,68,46,54,68,71,69,79,72,78,69,58,75,68,51,49,45,68,46,78,72,67,47,57,69,67,61,67,47,76,51,70,68,57,64,82,68,63,68,58,76,67,77,67,65,63,67,67,51,61,62,67,81,49,79,46,68,69,62,50,82,67,67,66,52,78,69,49,69,77,80,64,64,68,50,73,54,42,60,70,58,control
Patient_160,68,71,68,58,68,58,63,72,60,46,39,73,69,63,70,56,44,65,72,42,69,56,59,65,68,66,65,59,69,68,72,61,71,57,61,69,58,64,67,58,66,46,55,67,70,70,68,67,66,68,56,66,67,42,34,45,65,42,68,66,70,43,55,69,63,59,63,40,69,41,64,63,55,65,69,69,69,70,57,70,72,68,65,64,65,62,62,43,62,67,69,68,43,67,42,69,66,58,38,69,67,60,65,54,68,68,43,64,69,68,68,59,69,39,66,39,40,55,69,58,control
Patient_161,59,58,57,47,59,48,60,63,45,46,48,62,60,45,60,44,38,56,62,40,59,46,47,55,56,58,57,48,62,70,58,55,64,50,45,56,47,52,61,50,54,51,43,58,59,59,46,64,40,61,47,70,61,49,44,53,58,38,60,67,61,43,51,54,43,47,53,49,37,42,60,58,47,52,52,60,59,58,49,70,64,74,62,58,61,47,55,39,58,60,63,45,37,42,37,62,61,48,39,34,44,45,58,51,40,56,43,60,37,36,62,44,62,40,36,37,49,47,53,45,control
Patient_162,57,60,61,67,62,67,59,61,64,46,47,60,63,69,61,61,50,61,63,53,57,52,65,58,57,59,59,63,61,58,59,61,64,65,66,58,63,66,58,65,59,47,63,61,57,59,59,63,58,60,65,57,60,47,54,40,58,48,56,62,60,52,67,59,66,63,58,47,57,49,58,60,65,59,56,62,64,61,68,59,63,58,58,57,61,62,59,51,60,61,64,58,53,56,56,59,59,67,53,57,63,60,58,70,58,62,55,64,59,56,61,64,61,56,63,53,45,64,58,72,control
Patient_163,49,64,65,64,63,60,61,61,61,52,52,61,61,63,62,62,40,63,61,48,63,50,62,60,61,61,63,62,65,52,62,64,63,60,61,61,65,56,62,59,60,49,63,62,58,64,54,56,51,60,62,56,64,54,46,52,57,49,56,59,64,45,64,60,62,63,62,48,53,45,62,63,60,63,47,63,63,62,62,58,62,52,61,62,62,61,61,42,59,61,59,55,41,47,38,65,62,62,47,27,63,64,62,59,60,62,48,47,23,23,61,66,61,49,22,49,50,63,61,62,control
Patient_164,55,67,69,71,65,69,69,67,72,44,49,64,64,70,68,73,50,68,65,56,70,59,67,72,68,68,71,72,65,59,66,71,61,73,71,67,68,67,65,73,69,45,77,73,69,68,21,58,22,65,72,60,67,50,47,46,67,47,55,61,66,52,70,70,74,71,72,44,23,50,72,72,70,71,51,64,65,70,73,62,64,63,68,67,69,73,71,52,72,65,63,20,53,27,53,68,67,72,56,48,70,73,70,66,36,67,56,54,58,52,63,72,66,57,48,50,47,71,72,67,control
Patient_165,79,62,62,75,64,74,62,59,76,43,42,62,64,79,61,75,55,61,61,52,61,53,75,62,63,61,64,74,60,81,63,67,59,74,77,64,77,61,59,74,64,49,78,61,59,63,80,87,80,59,71,84,60,42,46,40,61,48,80,87,62,52,72,63,77,74,68,42,86,47,63,63,74,68,77,61,65,63,76,81,59,79,58,65,63,75,65,53,65,63,57,83,55,81,51,60,57,75,49,80,78,74,59,74,79,61,48,93,84,82,62,77,64,56,91,48,40,75,62,77,control
Patient_166,68,67,67,55,64,56,62,66,53,55,47,67,61,58,63,55,41,64,64,48,64,51,58,63,66,63,62,54,59,69,64,60,62,52,58,68,60,57,64,57,63,47,56,65,62,66,67,69,71,65,59,69,61,49,47,50,64,54,68,69,64,49,58,64,59,58,61,49,64,47,63,64,57,62,73,63,60,64,56,69,63,71,62,61,64,53,59,44,62,65,64,71,44,68,40,64,62,58,51,72,57,55,63,57,70,64,49,67,67,68,63,57,64,34,70,49,49,56,63,60,control
Patient_167,83,69,68,44,67,46,62,72,46,47,41,71,64,44,68,43,44,68,70,50,69,49,43,58,67,67,62,44,67,83,68,61,69,53,43,67,47,47,69,46,65,39,44,69,68,69,81,67,88,69,42,65,67,41,42,40,66,49,88,67,66,46,49,63,42,45,60,45,77,42,66,62,44,58,86,67,68,67,46,62,67,90,68,64,67,46,61,47,63,67,67,85,47,89,55,70,68,45,48,85,45,43,64,44,85,69,48,64,79,85,69,45,73,46,66,46,41,47,62,48,control
Patient_168,85,57,57,70,59,67,64,58,69,48,45,58,58,73,58,70,43,62,57,40,61,53,67,63,60,60,61,69,56,85,59,62,57,67,75,59,70,60,58,68,64,48,72,61,59,59,81,72,83,58,70,75,58,44,43,48,61,46,82,76,56,40,70,60,72,70,65,43,82,47,59,63,69,63,82,58,58,57,68,80,56,83,60,62,58,71,62,40,65,61,56,81,41,81,36,59,58,72,37,81,73,68,61,76,86,58,44,66,81,81,60,70,56,47,68,34,39,69,64,73,control
Patient_169,63,70,67,55,68,57,61,68,54,34,41,71,71,64,68,54,43,66,67,42,63,55,57,61,68,66,61,54,72,65,68,63,69,56,59,71,56,59,70,59,63,41,52,65,67,68,65,56,61,68,53,53,63,41,44,40,62,44,62,54,68,43,57,64,58,55,60,44,67,42,65,61,54,64,64,69,73,70,56,54,72,62,61,61,70,57,63,43,64,61,71,65,42,62,41,68,64,56,45,61,63,56,64,58,61,69,45,59,65,64,65,56,72,46,58,40,43,57,63,64,control
Patient_170,54,60,55,69,60,69,64,63,68,56,51,60,58,64,56,67,46,60,59,49,62,51,68,65,58,61,61,69,58,44,63,63,60,65,69,58,69,59,60,63,62,54,67,59,58,58,37,49,39,60,69,50,60,58,44,51,62,48,53,51,58,51,72,63,70,68,64,55,36,55,57,59,70,63,46,60,56,58,72,50,58,48,61,62,61,66,63,43,63,59,58,32,43,36,43,60,62,69,42,33,63,66,62,67,32,60,48,55,35,36,62,70,57,40,35,45,56,70,62,65,control
Patient_171,77,61,65,62,64,61,55,59,62,45,46,57,65,60,63,61,45,63,63,48,57,54,60,56,62,59,55,58,63,78,62,55,65,64,57,67,60,58,60,63,59,38,60,57,61,65,80,74,79,60,58,74,57,44,45,40,57,47,76,74,63,39,61,58,56,59,54,42,78,45,60,57,59,59,82,62,69,67,60,73,61,78,59,54,62,64,55,42,57,63,62,76,50,78,47,61,58,59,45,77,59,57,54,70,78,61,44,74,78,79,64,57,65,44,71,49,46,59,57,60,control
Patient_172,71,66,70,57,62,59,66,67,57,39,41,67,62,50,63,61,54,60,64,41,63,50,57,62,68,64,64,57,64,72,64,62,62,60,54,68,59,53,66,57,64,38,58,65,65,65,70,72,71,66,57,72,67,35,43,36,64,43,72,73,66,50,55,66,55,58,61,40,70,41,64,64,57,61,71,63,63,65,55,72,61,75,64,63,63,57,61,51,64,63,63,72,53,73,57,64,63,56,45,73,54,57,64,57,72,65,41,71,69,71,63,57,62,54,69,43,41,58,67,57,control
Patient_173,64,61,61,49,63,53,57,60,51,53,51,60,65,53,65,55,59,60,60,54,58,45,53,56,62,59,56,48,64,67,62,55,63,47,53,63,56,44,57,51,60,54,49,57,63,63,62,95,60,58,47,92,58,54,55,53,58,57,61,95,61,54,49,62,53,53,60,53,71,53,61,53,48,56,60,61,62,64,49,95,62,59,54,56,64,51,56,50,59,59,62,64,52,60,54,64,59,48,59,64,57,55,61,57,64,60,55,94,68,60,60,52,61,60,94,59,52,50,60,52,control
Patient_174,58,68,70,58,69,59,66,72,59,53,45,70,70,61,72,60,47,70,71,50,70,57,64,66,70,71,67,59,67,56,69,68,74,62,62,69,61,61,70,58,67,55,57,70,69,69,1,60,1,71,60,52,73,49,55,48,68,52,59,54,73,50,58,70,64,62,66,52,11,51,69,70,61,65,46,70,70,70,61,62,72,55,71,69,68,62,66,47,66,68,70,9,43,2,45,71,71,59,54,42,63,63,68,59,21,67,48,55,40,35,69,63,67,48,43,54,57,60,69,65,control
Patient_175,77,72,74,48,71,48,68,73,48,49,47,73,74,48,70,47,49,68,73,46,69,52,50,64,73,72,71,49,63,76,73,65,72,48,51,72,46,54,72,51,69,40,47,69,70,72,74,77,69,73,49,79,71,39,47,42,73,49,73,80,74,53,48,67,51,47,69,45,81,38,69,68,50,61,67,69,71,72,48,83,70,72,70,67,71,46,63,54,69,69,71,72,56,72,52,71,69,51,45,73,48,43,71,50,77,69,48,76,80,74,74,46,73,49,76,47,40,53,68,54,control
Patient_176,54,50,54,75,54,78,59,52,80,51,43,47,53,80,53,78,46,55,51,47,55,47,80,60,55,55,62,77,53,53,54,68,52,74,78,51,75,74,53,73,61,51,76,57,55,53,23,61,13,52,76,57,54,49,44,44,60,42,46,69,52,49,74,59,78,74,63,45,23,38,58,60,74,63,48,53,54,50,72,63,50,61,55,59,57,74,66,47,63,58,50,19,42,28,42,51,58,75,50,53,77,77,59,74,28,54,44,48,47,49,50,76,51,47,57,46,47,74,60,87,control
Patient_177,80,65,65,54,66,56,61,65,51,43,48,64,64,52,69,57,44,68,66,46,66,51,55,59,67,66,59,51,62,78,67,54,65,52,49,67,54,47,65,53,62,48,52,64,66,64,79,70,80,66,47,76,65,50,47,37,62,52,84,77,65,46,50,65,50,55,61,44,80,41,64,59,54,58,80,65,65,66,51,77,63,82,61,61,65,54,56,41,58,66,63,81,48,84,46,65,63,50,44,81,56,57,60,53,81,64,44,72,79,81,65,50,64,42,67,46,47,52,63,52,control
Patient_178,52,62,58,57,63,55,67,62,59,54,53,61,56,62,64,66,42,62,66,50,69,50,63,69,57,66,64,60,66,50,63,72,62,60,60,56,62,53,61,56,64,52,54,65,65,63,42,54,36,63,56,50,65,54,53,51,63,51,55,53,62,42,57,65,65,64,69,53,46,55,67,68,53,61,44,61,59,58,52,51,63,52,65,65,63,65,71,45,65,66,64,46,48,36,52,64,71,56,51,26,70,72,70,50,43,65,52,54,35,33,56,65,59,48,31,50,60,54,66,61,control
Patient_179,64,65,67,68,65,67,69,63,67,47,44,63,65,64,63,65,34,65,66,37,68,54,66,71,67,65,72,69,67,67,66,73,63,71,65,64,64,68,65,70,69,45,72,67,65,64,69,76,66,64,66,73,67,48,41,50,65,43,62,75,64,36,66,65,63,64,73,46,66,44,66,69,69,69,67,64,64,64,65,73,65,66,67,71,67,63,70,33,69,69,64,64,37,65,36,67,67,65,39,64,63,65,69,71,65,64,40,77,67,67,63,65,63,35,76,44,48,69,67,61,control
Patient_180,54,70,68,62,68,60,70,69,64,40,35,68,66,60,68,60,42,70,69,41,71,60,61,70,68,69,71,61,68,40,67,70,65,65,64,69,60,65,68,62,69,35,63,70,68,68,45,40,45,69,56,42,67,40,40,38,70,40,56,39,67,38,58,73,61,60,69,39,41,45,71,70,60,67,44,67,70,67,62,41,66,40,69,69,67,60,68,42,69,70,67,32,40,40,42,68,70,62,47,54,61,60,68,52,38,69,42,56,45,44,67,60,69,44,44,40,34,58,69,57,control
Patient_181,80,58,61,61,58,60,60,57,62,60,52,56,57,56,61,63,33,61,58,43,59,50,62,63,61,59,64,63,56,81,60,59,58,62,58,60,58,51,56,62,64,45,64,58,62,59,83,76,82,58,60,78,60,55,40,55,60,47,80,77,58,33,59,63,63,60,65,52,80,49,59,61,62,62,84,58,61,61,60,74,56,82,60,59,57,62,61,33,59,64,60,84,33,82,33,59,58,62,41,83,63,62,62,64,82,60,41,79,81,81,60,62,53,34,77,38,51,57,66,56,control
Patient_182,49,63,61,59,64,58,66,62,57,56,55,64,61,58,65,59,40,61,66,46,65,49,60,62,61,65,66,61,66,41,65,63,65,56,62,63,57,50,65,56,65,48,60,65,66,67,50,42,56,66,64,47,69,59,51,54,64,55,48,43,66,38,60,64,62,62,63,59,62,55,64,65,62,63,40,63,59,59,58,47,63,42,65,64,65,59,66,40,62,63,64,49,41,54,44,63,65,62,45,46,58,61,67,52,57,64,46,50,36,52,63,60,62,37,45,41,57,59,63,56,control
Patient_183,54,56,57,52,56,56,58,55,55,50,43,54,54,56,57,54,49,60,59,49,59,46,53,59,56,58,57,50,54,45,57,55,56,55,56,57,58,46,58,52,58,51,51,59,57,57,42,44,34,56,50,48,60,46,46,50,58,50,51,46,55,41,51,60,54,54,58,53,36,52,58,58,51,58,38,56,59,57,53,46,54,44,60,58,56,55,58,45,55,57,55,32,40,26,43,56,56,49,51,11,57,54,59,57,29,56,50,49,32,28,55,55,55,47,20,53,56,49,58,49,control
Patient_184,83,52,53,70,52,72,59,52,69,53,53,50,52,67,52,64,47,57,53,50,57,50,67,59,55,57,60,70,50,82,54,62,52,66,68,53,70,62,53,67,57,52,76,57,52,54,79,73,81,54,72,75,57,50,42,47,60,47,83,76,51,45,73,57,67,67,61,49,78,45,57,58,74,60,76,52,53,53,74,78,49,85,58,60,57,67,59,42,63,58,54,78,52,84,54,51,57,72,50,78,63,64,60,70,83,55,48,77,77,81,55,68,50,48,71,45,55,70,57,70,control
Patient_185,76,54,55,54,53,51,55,48,52,41,46,51,55,57,53,57,45,56,53,52,57,49,56,59,53,55,55,51,54,75,51,62,54,51,60,51,56,46,54,54,54,50,53,54,51,56,76,68,77,52,54,72,56,49,48,46,56,50,78,68,54,49,51,56,59,54,58,46,75,43,56,55,47,57,81,53,51,51,51,68,54,79,56,54,60,56,57,44,58,54,54,77,47,80,43,53,57,53,54,80,58,57,56,52,77,52,53,66,76,79,55,58,49,46,66,55,42,55,56,52,control
Patient_186,52,73,74,42,72,43,65,79,44,49,42,75,72,42,75,37,47,74,76,47,73,50,42,61,70,72,64,45,70,57,75,57,77,47,41,71,43,47,74,40,67,46,41,72,75,74,34,60,40,75,39,57,72,45,43,44,66,46,55,63,74,47,38,71,39,42,62,46,33,43,68,68,44,58,49,73,75,74,41,60,72,61,69,66,67,44,62,48,61,73,74,48,50,36,47,73,70,35,46,22,43,40,68,43,25,72,43,54,12,16,72,43,73,44,12,47,43,37,70,31,control
Patient_187,83,58,59,58,60,61,60,58,60,47,44,58,62,61,54,59,39,62,58,51,58,53,58,58,57,58,59,56,63,83,58,61,62,58,63,57,59,63,60,59,58,50,59,56,58,58,87,60,86,61,57,64,59,55,52,48,59,50,86,62,58,42,62,56,63,59,59,49,82,51,58,62,56,58,88,57,65,55,60,59,59,87,59,59,62,63,59,41,63,63,59,85,37,89,37,59,60,60,49,83,60,56,58,66,83,57,44,61,82,88,60,59,62,35,59,51,42,59,57,65,control
Patient_188,49,61,60,66,62,66,61,57,64,31,41,60,57,66,63,71,52,62,57,38,63,51,69,61,63,58,56,64,57,67,61,59,60,66,66,63,72,41,56,64,63,35,68,58,60,62,37,67,41,55,62,65,59,31,40,32,56,41,55,62,57,50,63,64,70,70,63,37,44,34,59,58,65,58,44,60,59,60,63,64,59,61,56,58,59,75,60,50,59,60,57,40,56,50,58,63,60,64,45,42,68,74,58,66,49,58,41,48,48,38,54,70,58,56,45,45,40,64,65,64,control
Patient_189,70,67,66,46,63,48,63,63,48,46,40,66,66,51,66,51,55,64,68,50,66,50,49,61,61,64,60,49,65,68,64,60,64,51,51,64,50,42,64,47,61,33,41,64,66,64,70,58,75,64,43,53,60,40,46,41,61,42,70,60,62,51,39,62,51,49,58,39,66,48,64,62,43,57,66,62,65,66,41,54,64,74,66,59,64,55,59,55,60,65,65,68,48,72,54,65,65,42,55,67,54,51,64,50,71,65,51,58,66,73,64,49,67,53,58,56,42,46,63,51,control
Patient_190,71,64,65,43,66,49,65,66,46,34,34,66,69,49,66,44,47,64,69,37,64,52,42,59,66,67,64,43,69,71,64,61,69,47,49,62,46,55,68,46,65,35,43,65,68,67,70,72,73,70,43,67,66,34,38,30,68,37,68,73,65,54,46,65,45,42,59,35,70,32,64,64,40,59,68,68,68,68,45,66,67,72,67,62,70,47,61,53,66,65,68,67,57,70,51,65,66,43,40,68,45,43,65,47,70,68,38,73,72,71,66,43,68,53,73,34,34,43,63,46,control
Patient_191,54,75,72,46,70,44,65,71,45,29,37,73,69,49,72,45,50,67,70,43,71,51,47,58,68,70,59,45,70,58,70,59,69,51,46,71,49,38,69,47,65,26,45,69,65,71,34,63,35,70,40,58,67,28,40,37,64,43,53,60,69,45,41,68,45,48,62,32,28,35,66,64,41,59,45,68,64,70,43,63,72,60,66,62,65,50,59,52,62,65,70,40,47,33,47,73,67,39,42,35,51,50,63,44,29,71,43,50,35,38,66,45,72,56,28,44,32,47,66,50,control
Patient_192,60,76,74,48,73,51,68,79,52,50,44,77,74,49,75,50,44,72,78,48,72,58,47,65,77,73,69,49,68,53,72,61,73,54,50,76,49,56,74,50,71,47,47,73,72,77,40,56,35,78,48,54,74,52,46,46,75,44,62,54,75,46,44,73,53,51,65,49,38,49,73,69,46,61,48,71,73,78,48,53,71,56,68,69,71,52,65,42,69,71,77,42,49,37,50,74,71,47,48,42,54,48,72,44,40,74,47,60,70,55,76,47,78,52,53,41,48,48,73,52,control
Patient_193,64,58,55,70,58,68,61,60,70,25,25,60,61,66,58,66,48,55,59,40,55,52,67,59,62,57,60,72,59,64,54,62,56,73,67,59,64,69,58,70,59,23,67,56,54,57,62,51,64,60,70,52,59,23,41,18,59,42,66,52,59,41,72,57,70,66,58,25,60,32,56,62,73,61,67,58,59,57,72,56,60,67,57,62,57,62,62,50,64,56,58,65,51,65,51,57,55,73,48,66,64,64,56,69,63,58,40,47,64,65,65,69,63,52,50,45,31,72,55,69,control
Patient_194,47,52,54,60,56,60,58,54,58,48,46,53,57,57,56,51,40,54,55,42,52,44,54,56,51,58,55,59,58,52,53,57,57,57,55,52,56,68,58,59,52,47,56,54,49,55,53,48,47,55,59,54,59,47,44,50,53,49,52,52,58,44,64,54,52,62,53,50,39,51,57,55,65,57,44,56,56,53,59,53,58,59,55,60,58,52,53,43,53,58,56,40,41,37,43,53,59,60,42,28,51,52,55,57,42,53,45,54,23,34,56,56,54,41,29,40,53,58,50,50,control
Patient_195,68,69,71,60,69,59,64,71,58,30,29,67,70,58,72,55,56,67,71,39,65,55,58,61,72,67,62,58,65,66,64,57,70,59,56,73,54,64,71,59,65,26,59,65,69,72,67,56,69,72,60,57,68,26,35,26,65,40,70,60,72,53,61,64,56,56,58,31,64,30,65,61,62,57,67,69,72,72,59,61,70,71,66,63,64,53,59,53,60,68,68,69,53,71,59,66,63,60,39,68,58,56,64,61,67,68,39,55,64,66,77,57,73,56,54,44,31,57,64,58,control
Patient_196,90,63,63,67,70,68,67,65,67,45,51,67,67,65,65,68,45,64,68,37,64,52,71,66,61,64,67,66,70,87,67,71,69,64,68,63,69,75,66,65,66,49,67,63,67,65,90,54,90,65,68,62,67,47,43,56,66,41,92,56,67,41,68,65,64,70,68,48,85,43,64,62,66,68,90,66,67,66,70,59,70,97,66,69,68,64,66,43,68,67,70,89,40,95,41,65,68,65,46,89,66,64,69,67,92,64,43,50,86,96,64,66,65,46,50,45,48,72,65,63,control
Patient_197,84,69,63,66,67,62,65,67,64,36,34,67,64,62,68,64,55,65,68,39,67,56,59,66,65,63,64,61,66,87,67,61,65,63,60,66,60,54,64,61,68,30,65,64,69,65,88,88,85,66,59,84,63,29,40,42,64,41,81,86,65,55,61,66,62,62,66,36,88,38,64,66,58,62,85,66,66,65,61,80,67,83,65,61,66,64,66,55,64,67,66,82,48,83,51,69,66,60,39,83,66,60,69,66,84,69,41,90,89,86,66,58,65,52,89,37,41,61,67,58,control
Patient_198,56,69,68,39,70,39,62,75,39,45,50,76,69,40,71,38,41,64,72,39,67,47,38,57,70,67,58,38,67,60,70,53,72,43,39,70,36,38,68,39,61,44,38,63,67,70,47,58,45,71,38,60,67,48,40,48,64,45,56,58,70,38,38,64,37,38,57,46,43,41,63,60,41,51,49,69,71,69,40,58,71,58,63,63,66,34,55,44,61,63,70,49,50,44,40,71,66,37,48,28,33,37,61,38,45,67,37,55,30,29,72,36,74,44,32,47,45,42,61,31,control
Patient_199,51,59,64,59,63,62,62,62,58,47,48,63,60,58,60,57,41,61,61,46,62,50,57,56,60,61,61,59,62,67,60,59,65,62,58,58,58,57,62,60,59,42,55,61,60,59,29,68,33,64,58,65,63,46,45,51,62,44,44,61,63,36,59,59,55,60,58,50,35,43,61,61,58,61,44,62,62,56,57,63,62,59,63,61,62,59,60,42,58,62,60,36,35,35,39,63,62,52,38,47,58,58,58,64,31,60,47,48,38,35,64,54,59,40,37,40,45,58,60,54,control
Patient_200,86,58,59,68,61,67,62,56,70,5,18,56,59,68,58,68,23,60,57,14,58,51,64,60,57,58,60,64,59,85,59,61,63,63,67,57,68,65,59,67,58,31,65,56,59,58,81,68,92,59,71,73,59,41,18,19,59,23,90,72,60,33,71,59,67,66,62,38,79,37,57,59,70,62,91,58,57,56,70,76,57,91,60,60,57,66,58,33,58,61,59,88,20,90,24,59,60,69,41,91,66,64,60,72,87,57,32,62,79,86,59,66,55,8,63,20,19,68,60,59,case
Patient_201,76,69,70,67,68,64,68,67,69,22,17,66,65,63,67,65,10,66,65,25,67,58,65,66,71,69,65,63,62,76,63,64,66,67,66,70,64,68,67,67,65,25,63,67,60,68,75,63,78,67,67,61,67,26,27,19,65,17,75,60,66,39,69,64,66,65,65,23,69,25,64,68,67,66,76,63,63,68,71,55,65,77,65,66,64,63,65,19,64,66,66,72,18,75,24,66,64,68,31,73,61,65,65,72,77,70,32,68,73,76,71,62,65,39,63,24,20,71,67,61,case
Patient_202,55,58,60,77,60,75,63,58,76,55,49,58,59,69,59,69,39,59,61,41,61,52,71,68,58,60,65,73,58,55,62,69,63,73,70,57,70,72,58,76,63,51,71,60,63,57,33,47,32,60,71,53,62,57,43,54,60,45,54,47,58,34,73,62,67,69,63,53,40,48,61,64,74,66,45,63,60,56,70,46,63,55,64,64,61,65,68,31,65,65,65,31,34,40,35,61,64,74,34,28,71,69,66,76,31,62,36,57,32,32,61,70,57,39,21,35,53,75,65,70,case
Patient_203,45,58,58,65,60,65,64,56,68,41,43,58,62,74,58,67,62,62,59,42,61,53,69,65,54,62,69,66,65,53,60,71,62,64,71,54,65,71,62,63,62,38,63,60,60,58,44,63,36,61,66,49,63,42,39,37,63,45,44,64,61,59,69,58,72,67,64,44,36,39,62,67,66,69,42,62,60,55,63,68,62,52,65,64,62,70,69,61,65,63,64,43,56,43,57,59,62,69,46,33,75,71,68,61,42,60,45,41,44,31,56,69,59,56,29,44,39,65,63,74,case
Patient_204,58,61,60,61,56,56,58,58,61,59,58,61,59,55,61,58,39,61,59,49,60,50,60,61,64,61,60,60,57,56,60,53,57,62,60,63,56,53,58,59,59,56,67,62,60,60,34,60,33,59,60,59,58,57,49,58,59,54,62,58,58,43,59,63,60,58,62,58,35,61,57,59,62,60,51,58,58,59,58,57,58,60,59,58,57,61,55,37,59,55,56,34,39,32,42,61,57,61,46,25,58,60,58,57,37,59,48,59,21,44,59,60,58,39,36,41,59,60,63,59,case
Patient_205,51,62,62,53,60,56,56,60,55,40,40,61,60,51,59,53,55,62,57,41,59,51,52,59,64,60,57,53,57,47,61,52,60,52,52,65,57,56,61,53,58,43,53,59,63,60,21,42,31,59,54,46,57,41,40,44,59,47,50,41,59,52,52,64,51,50,55,44,21,42,60,56,55,53,42,61,60,64,50,43,63,47,59,59,58,54,55,53,53,56,58,26,51,22,49,59,60,53,41,40,53,51,55,52,28,59,42,51,21,37,60,53,58,50,41,44,39,52,60,53,case
Patient_206,56,59,58,58,58,58,58,61,55,35,42,59,61,58,59,54,43,56,59,43,55,46,56,56,59,56,57,58,59,55,59,57,62,56,59,59,56,63,59,57,59,40,57,58,58,58,46,56,38,60,58,59,59,41,39,37,56,43,49,56,61,50,55,57,58,57,59,39,40,42,59,56,59,58,46,58,60,57,57,52,60,57,57,58,58,54,56,42,60,59,57,40,44,40,45,60,57,57,41,44,52,53,58,59,42,57,42,55,37,38,60,56,62,46,50,43,37,57,56,65,case
Patient_207,83,54,54,58,57,56,54,54,57,8,16,54,58,57,55,55,13,54,54,19,51,48,56,49,56,52,50,53,55,82,54,48,55,57,56,58,54,54,55,60,52,26,59,53,50,56,82,70,79,54,60,69,56,40,14,9,53,7,80,71,58,10,60,52,56,59,48,44,82,33,51,50,58,53,79,54,58,57,56,73,54,80,53,53,53,54,49,15,50,53,51,78,18,79,27,54,52,58,39,79,52,55,48,60,82,53,31,66,84,81,53,52,58,14,69,14,12,60,51,59,case
